step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,41,1,0.36131611532358515,0.0,0.0,0.4872071744380082,0.0,0.0,,,,,,
2,74,2,0.3700738534195625,0.0,0.0,,,,,,,,,
3,107,3,0.22843073428540267,0.0,0.0,,,,,,,,,
4,148,4,0.18925983548845396,0.0,0.0,,,,,,,,,
5,173,5,0.06851752833268013,1.0,1.0,,,,,,,,,
6,262,6,0.02713874108659432,1.0,1.0,,,,,,,,,
7,375,7,0.05557006998931683,1.0,1.0,,,,,,,,,
8,416,8,0.037689568018540745,1.0,1.0,,,,,,,,,
9,441,9,0.03327601474069525,1.0,1.0,0.031220039141662707,1.0,1.0,,,,,,
10,506,10,0.031220039141662707,1.0,1.0,,,,,,,,,
11,539,11,0.22557505111595672,0.0,0.0,,,,,,,,,
12,620,12,0.0694835970180284,0.0,0.0,,,,,,,,,
13,661,13,0.0693355020871386,0.0,0.0,,,,,,,,,
14,694,14,0.045931317708786994,0.0,0.0,,,,,,,,,
15,735,15,0.028463621933449756,1.0,1.0,,,,,,,,,
16,760,16,0.020192973992889166,1.0,1.0,,,,,,,,,
17,785,17,0.017002813986327962,1.0,1.0,0.028524243063839095,1.0,1.0,,,,,,
18,874,18,0.026500673530919647,1.0,1.0,,,,,,,,,
19,899,19,0.022513926106815536,1.0,1.0,,,,,,,,,
20,1020,20,0.05054291217876016,1.0,1.0,,,,,,,,,
21,1053,21,0.17471788834329344,0.0,0.0,,,,,,,,,
22,1094,22,0.02836188224214129,1.0,1.0,,,,,,,,,
23,1135,23,0.034800293915439394,1.0,1.0,,,,,,,,,
24,1248,24,0.0544320389855836,1.0,1.0,,,,,,,,,
25,1281,25,0.03246741641443805,1.0,1.0,0.032951377297674,1.0,1.0,,,,,,
26,1322,26,0.03000724712666124,1.0,1.0,,,,,,,,,
27,1347,27,0.021077466012599567,1.0,1.0,,,,,,,,,
28,1372,28,0.02064567490713671,1.0,1.0,,,,,,,,,
29,1437,29,0.05725409627833869,0.0,0.0,,,,,,,,,
30,1470,30,0.016648737896612146,1.0,1.0,,,,,,,,,
31,1495,31,0.14679759012768046,0.0,0.0,,,,,,,,,
32,1528,32,0.020843235227948755,1.0,1.0,,,,,,,,,
33,1561,33,0.03276810964700416,1.0,1.0,0.04024752794350206,0.0,0.0,,,,,,
34,1626,34,0.040496221549910845,0.0,0.0,,,,,,,,,
35,1651,35,0.04781833109387662,0.0,0.0,,,,,,,,,
36,1684,36,0.030358177107700612,1.0,1.0,,,,,,,,,
37,1717,37,0.031779489604959965,1.0,1.0,,,,,,,,,
38,1830,38,0.051204410766845926,1.0,1.0,,,,,,,,,
39,1855,39,0.012860343157080935,1.0,1.0,,,,,,,,,
